module	type	key	value	encodedValue	source	line
com.xiaoji.egggame.common.winemu_core	string	tp_HideHypervisorBitDesc	隐藏虚拟化CPUID位	6ZqQ6JeP6Jma5ouf5YyWQ1BVSUTkvY0=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	52
com.xiaoji.egggame.common.winemu_core	string	tp_HideHypervisorBitTitle	HideHypervisorBit (隐藏虚拟机位)	SGlkZUh5cGVydmlzb3JCaXQgKOmakOiXj+iZmuaLn+acuuS9jSk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	53
com.xiaoji.egggame.common.winemu_core	string	tp_IgnoreINT3Desc	静默跳过INT3指令	6Z2Z6buY6Lez6L+HSU5UM+aMh+S7pA==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	54
com.xiaoji.egggame.common.winemu_core	string	tp_IgnoreINT3Title	IgnoreINT3 (忽略断点)	SWdub3JlSU5UMyAo5b+955Wl5pat54K5KQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	55
com.xiaoji.egggame.common.winemu_core	string	tp_MaxInstDesc	限制最大指令数，0为无限制	6ZmQ5Yi25pyA5aSn5oyH5Luk5pWw77yMMOS4uuaXoOmZkOWItg==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	56
com.xiaoji.egggame.common.winemu_core	string	tp_MaxInstTitle	MaxInst (最大指令数)	TWF4SW5zdCAo5pyA5aSn5oyH5Luk5pWwKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	57
com.xiaoji.egggame.common.winemu_core	string	tp_MemcpySetTSOEnabledDesc	内存拷贝操作TSO原子性	5YaF5a2Y5ou36LSd5pON5L2cVFNP5Y6f5a2Q5oCn	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	58
com.xiaoji.egggame.common.winemu_core	string	tp_MemcpySetTSOEnabledTitle	MemcpySetTSOEnabled (内存拷贝TSO)	TWVtY3B5U2V0VFNPRW5hYmxlZCAo5YaF5a2Y5ou36LSdVFNPKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	59
com.xiaoji.egggame.common.winemu_core	string	tp_MonoHacksDesc	Mono检测时启用SMC钩子	TW9ub+ajgOa1i+aXtuWQr+eUqFNNQ+mSqeWtkA==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	60
com.xiaoji.egggame.common.winemu_core	string	tp_MonoHacksTitle	MonoHacks (Mono优化)	TW9ub0hhY2tzIChNb25v5LyY5YyWKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	61
com.xiaoji.egggame.common.winemu_core	string	tp_MultiblockDesc	控制多块代码编译优化	5o6n5Yi25aSa5Z2X5Luj56CB57yW6K+R5LyY5YyW	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	62
com.xiaoji.egggame.common.winemu_core	string	tp_MultiblockTitle	Multiblock (多块编译)	TXVsdGlibG9jayAo5aSa5Z2X57yW6K+RKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	63
com.xiaoji.egggame.common.winemu_core	string	tp_NativeFlagDesc	使用ARM原生标志处理	5L2/55SoQVJN5Y6f55Sf5qCH5b+X5aSE55CG	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	64
com.xiaoji.egggame.common.winemu_core	string	tp_NativeFlagTitle	NativeFlags (原生标志)	TmF0aXZlRmxhZ3MgKOWOn+eUn+agh+W/lyk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	65
com.xiaoji.egggame.common.winemu_core	string	tp_PauseDesc	PAUSE指令处理方式	UEFVU0XmjIfku6TlpITnkIbmlrnlvI8=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	66
com.xiaoji.egggame.common.winemu_core	string	tp_PauseTitle	Pause (暂停指令)	UGF1c2UgKOaaguWBnOaMh+S7pCk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	67
com.xiaoji.egggame.common.winemu_core	string	tp_RDTSC1GHZDesc	1GHz精度时间戳	MUdIeueyvuW6puaXtumXtOaIsw==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	68
com.xiaoji.egggame.common.winemu_core	string	tp_RDTSC1GHZTitle	RDTSC1GHZ (时间戳计数器)	UkRUU0MxR0haICjml7bpl7TmiLPorqHmlbDlmagp	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	69
com.xiaoji.egggame.common.winemu_core	string	tp_SMCChecksDesc	代码修改检测方式	5Luj56CB5L+u5pS55qOA5rWL5pa55byP	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	70
com.xiaoji.egggame.common.winemu_core	string	tp_SMCChecksTitle	SMCChecks (自修改代码检查)	U01DQ2hlY2tzICjoh6rkv67mlLnku6PnoIHmo4Dmn6Up	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	71
com.xiaoji.egggame.common.winemu_core	string	tp_SmallTSCScaleDesc	低频系统时间戳缩放	5L2O6aKR57O757uf5pe26Ze05oiz57yp5pS+	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	72
com.xiaoji.egggame.common.winemu_core	string	tp_SmallTSCScaleTitle	SmallTSCScale (小时间戳缩放)	U21hbGxUU0NTY2FsZSAo5bCP5pe26Ze05oiz57yp5pS+KQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	73
com.xiaoji.egggame.common.winemu_core	string	tp_TSOEnabledDesc	控制TSO内存一致性，多线程程序必需	5o6n5Yi2VFNP5YaF5a2Y5LiA6Ie05oCn77yM5aSa57q/56iL56iL5bqP5b+F6ZyA	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	74
com.xiaoji.egggame.common.winemu_core	string	tp_TSOEnabledTitle	TSOEnabled (TSO内存模型)	VFNPRW5hYmxlZCAoVFNP5YaF5a2Y5qih5Z6LKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	75
com.xiaoji.egggame.common.winemu_core	string	tp_VectorTSOEnabledDesc	向量操作TSO原子性	5ZCR6YeP5pON5L2cVFNP5Y6f5a2Q5oCn	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	76
com.xiaoji.egggame.common.winemu_core	string	tp_VectorTSOEnabledTitle	VectorTSOEnabled (向量TSO)	VmVjdG9yVFNPRW5hYmxlZCAo5ZCR6YePVFNPKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	77
com.xiaoji.egggame.common.winemu_core	string	tp_VolatileMetadataBox64Desc	使用PE文件易失性元数据	5L2/55SoUEXmlofku7bmmJPlpLHmgKflhYPmlbDmja4=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	78
com.xiaoji.egggame.common.winemu_core	string	tp_VolatileMetadataBox64Title	VolatileMetadataBox64 (Box64易失性元数据)	Vm9sYXRpbGVNZXRhZGF0YUJveDY0IChCb3g2NOaYk+WkseaAp+WFg+aVsOaNrik=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	79
com.xiaoji.egggame.common.winemu_core	string	tp_VolatileMetadataDesc	PE文件元数据指导TSO	UEXmlofku7blhYPmlbDmja7mjIflr7xUU08=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	80
com.xiaoji.egggame.common.winemu_core	string	tp_VolatileMetadataTitle	VolatileMetadata (易失性元数据)	Vm9sYXRpbGVNZXRhZGF0YSAo5piT5aSx5oCn5YWD5pWw5o2uKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	81
com.xiaoji.egggame.common.winemu_core	string	tp_WaitDesc	等待动态重编译完成	562J5b6F5Yqo5oCB6YeN57yW6K+R5a6M5oiQ	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	82
com.xiaoji.egggame.common.winemu_core	string	tp_WaitTitle	Wait (等待代码块)	V2FpdCAo562J5b6F5Luj56CB5Z2XKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	83
com.xiaoji.egggame.common.winemu_core	string	tp_WeakBarrierDesc	内存屏障优化级别	5YaF5a2Y5bGP6Zqc5LyY5YyW57qn5Yir	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	84
com.xiaoji.egggame.common.winemu_core	string	tp_WeakBarrierTitle	WeakBarrier (弱内存屏障)	V2Vha0JhcnJpZXIgKOW8seWGheWtmOWxj+manCk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	85
com.xiaoji.egggame.common.winemu_core	string	tp_X87DoubleDesc	X87 FPU双精度模式	WDg3IEZQVeWPjOeyvuW6puaooeW8jw==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	86
com.xiaoji.egggame.common.winemu_core	string	tp_X87DoubleTitle	X87Double (X87双精度)	WDg3RG91YmxlIChYODflj4znsr7luqYp	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	87
com.xiaoji.egggame.common.winemu_core	string	tp_X87ReducedPrecisionDesc	降低X87精度提升性能	6ZmN5L2OWDg357K+5bqm5o+Q5Y2H5oCn6IO9	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	88
com.xiaoji.egggame.common.winemu_core	string	tp_X87ReducedPrecisionTitle	X87ReducedPrecision (X87降精度)	WDg3UmVkdWNlZFByZWNpc2lvbiAoWDg36ZmN57K+5bqmKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	89
com.xiaoji.egggame.common.winemu_core	string	tp_aligned_atomics_0	0: 处理未对齐原子 [默认]	MDog5aSE55CG5pyq5a+56b2Q5Y6f5a2QIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	90
com.xiaoji.egggame.common.winemu_core	string	tp_aligned_atomics_1	1: 仅对齐原子(更快但可能SIGBUS)	MTog5LuF5a+56b2Q5Y6f5a2QKOabtOW/q+S9huWPr+iDvVNJR0JVUyk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	91
com.xiaoji.egggame.common.winemu_core	string	tp_avx_0	0: 禁用AVX [默认]	MDog56aB55SoQVZYIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	92
com.xiaoji.egggame.common.winemu_core	string	tp_avx_1	1: 基础AVX支持	MTog5Z+656GAQVZY5pSv5oyB	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	93
com.xiaoji.egggame.common.winemu_core	string	tp_avx_2	2: 完整AVX2支持	Mjog5a6M5pW0QVZYMuaUr+aMgQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	94
com.xiaoji.egggame.common.winemu_core	string	tp_big_block_0	0: 小块，适合多线程程序	MDog5bCP5Z2X77yM6YCC5ZCI5aSa57q/56iL56iL5bqP	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	95
com.xiaoji.egggame.common.winemu_core	string	tp_big_block_1	1: 标准大块	MTog5qCH5YeG5aSn5Z2X	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	96
com.xiaoji.egggame.common.winemu_core	string	tp_big_block_2	2: 更大块，仅elf内存 [默认]	Mjog5pu05aSn5Z2X77yM5LuFZWxm5YaF5a2YIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	97
com.xiaoji.egggame.common.winemu_core	string	tp_big_block_3	3: 最大块，适合Wine	Mzog5pyA5aSn5Z2X77yM6YCC5ZCIV2luZQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	98
com.xiaoji.egggame.common.winemu_core	string	tp_call_ret_0	0: 使用跳转表 [默认]	MDog5L2/55So6Lez6L2s6KGoIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	99
com.xiaoji.egggame.common.winemu_core	string	tp_call_ret_1	1: 跳过跳转表	MTog6Lez6L+H6Lez6L2s6KGo	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	100
com.xiaoji.egggame.common.winemu_core	string	tp_cpu_type_0	0: Intel CPU [默认]	MDogSW50ZWwgQ1BVIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	101
com.xiaoji.egggame.common.winemu_core	string	tp_cpu_type_1	1: AMD CPU	MTogQU1EIENQVQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	102
